num_exercicio,disciplina,assunto,Simulado,num_exercicio_eng,Frente
1,Matemática,Sistema de equações do 1º grau,1º simulado,1,Matemática A
2,Matemática,Sistema de equações do 1º grau,1º simulado,2,Matemática A
3,Linguagens,Interpretação de Texto,1º simulado,3,Linguagens
4,Linguagens,Interpretação de Texto,1º simulado,4,Linguagens
5,Matemática,Triângulo Retângulo,1º simulado,5,Matemática B
6,Ciências Humanas,História - Pré-História e Antiguidade Oriental,1º simulado,,História Geral
7,Ciências Humanas,Geografia - Clima,1º simulado,,Geografia Física
8,Linguagens,Interpretação de Texto,1º simulado,8,Linguagens
9,Linguagens,Interpretação de Texto,1º simulado,9,Linguagens
10,Linguagens,Interpretação de Texto,1º simulado,10,Linguagens
11,Matemática,Operações Numéricas,1º simulado,11,Matemática C
12,Matemática,Equação do 2º grau,1º simulado,12,Matemática A
13,Linguagens,Interpretação de Texto,1º simulado,13,Linguagens
14,Ciências Humanas,História - Pré-História e Antiguidade Oriental,1º simulado,,História Geral
15,Ciências Humanas,Geografia - Relevo,1º simulado,,Geografia Física
16,Ciências Humanas,Geografia - Regionalização,1º simulado,,Geografia Humana
17,Linguagens,Verbo,1º simulado,17,Linguagens
18,Ciências Humanas,Atualidades - Guerra na Síria,1º simulado,,Atualidades
19,Ciências Humanas,História - Grandes Navegações e Período Pré-Colonial,1º simulado,,História do Brasil
20,Linguagens,Orações,1º simulado,20,Linguagens
21,Linguagens,Interpretação de Texto,1º simulado,21,Linguagens
22,Ciências Humanas,História - Pré-História e Antiguidade Oriental,1º simulado,,História Geral
23,Linguagens,Interpretação de Texto,1º simulado,23,Linguagens
24,Linguagens,Interpretação de Texto,1º simulado,24,Linguagens
25,Linguagens,Concordância Nominal,1º simulado,25,Linguagens
26,Ciências Humanas,História - Grandes Navegações e Período Pré-Colonial,1º simulado,,História do Brasil
27,Ciências Humanas,Geografia - Globalização,1º simulado,,Geografia Humana
28,Matemática,Inequação do 1º grau,1º simulado,28,Matemática A
29,Matemática,Triângulo Retângulo,1º simulado,29,Matemática B
30,Linguagens,Interpretação de Texto,1º simulado,30,Linguagens
31,Matemática,Ângulos,1º simulado,31,Matemática B
32,Ciências Humanas,História - Período Colonial,1º simulado,,História do Brasil
33,Ciências Humanas,Geografia - Relevo,1º simulado,,Geografia Física
34,Linguagens,Figuras de Linguagem,1º simulado,34,Linguagens
35,Linguagens,Gênero Textual,1º simulado,35,Linguagens
36,Ciências Humanas,História - Grandes Navegações e Período Pré-Colonial,1º simulado,,História do Brasil
37,Matemática,Sistema de equações do 1º grau,1º simulado,37,Matemática A
38,Ciências Humanas,História - Grandes Navegações e Período Pré-Colonial,1º simulado,,História do Brasil
39,Linguagens,Interpretação de Texto,1º simulado,39,Linguagens
40,Matemática,Operações Numéricas,1º simulado,40,Matemática C
41,Matemática,Operações Numéricas,1º simulado,41,Matemática C
42,Ciências Humanas,História - Pré-História e Antiguidade Oriental,1º simulado,,História Geral
43,Linguagens,Interpretação de Texto,1º simulado,43,Linguagens
44,Matemática,Operações Numéricas,1º simulado,44,Matemática C
45,Linguagens,Verbo,1º simulado,45,Linguagens
46,Matemática,Triângulo Retângulo,1º simulado,46,Matemática B
47,Matemática,MMC e MDC,1º simulado,47,Matemática C
48,Matemática,Ângulos,1º simulado,48,Matemática B
49,Matemática,Operações Numéricas,1º simulado,49,Matemática C
50,Ciências Humanas,Geografia - Regionalização,1º simulado,,Geografia Humana
51,Matemática,Sistema de equações do 1º grau,1º simulado,51,Matemática A
52,Matemática,MMC e MDC,1º simulado,52,Matemática C
53,Ciências Humanas,Geografia - Comunismo,1º simulado,,Geografia Humana
54,Ciências Humanas,Geografia - Oriente Médio,1º simulado,,Geografia Humana
55,Matemática,Ângulos,1º simulado,55,Matemática B
56,Ciências Humanas,História - Grécia Antiga,1º simulado,,História Geral
57,Linguagens,Interpretação de Texto,1º simulado,57,Linguagens
58,Ciências Humanas,Geografia - Economia,1º simulado,,Geografia Humana
59,Linguagens,Interpretação de Texto,1º simulado,59,Linguagens
60,Ciências Humanas,Geografia - Clima,1º simulado,,Geografia Física
61,Linguagens,Interpretação de Texto,1º simulado,61,Linguagens
62,Matemática,Sistema de equações do 1º grau,1º simulado,62,Matemática A
63,Linguagens,Interpretação de Texto,1º simulado,63,Linguagens
64,Matemática,Triângulo Retângulo,1º simulado,64,Matemática B
65,Ciências Humanas,Atualidades - Guerra na Síria,1º simulado,,Atualidades
66,Matemática,Ângulos,1º simulado,66,Matemática B
67,Matemática,Operações Numéricas,1º simulado,67,Matemática C
68,Ciências Humanas,História - Grandes Navegações e Período Pré-Colonial,1º simulado,,História do Brasil
69,Ciências Humanas,Atualidades - Palestina,1º simulado,,Atualidades
70,Linguagens,Interpretação de Texto,1º simulado,70,Linguagens
71,Linguagens,Preposição,1º simulado,71,Linguagens
72,Matemática,Equação do 1º grau,1º simulado,72,Matemática A
73,Redação,Redação,1º simulado,73,Redação
74,Ciências da Natureza,Biologia - Água,1º simulado,6,Biologia
75,Ciências da Natureza,Física - Vetores,1º simulado,7,Física
76,Ciências da Natureza,Biologia - Bioquímica Celular,1º simulado,14,Biologia
77,Ciências da Natureza,Química - Balanceamento,1º simulado,15,Química
78,Ciências da Natureza,Química - Entalpia,1º simulado,16,Química
79,Ciências da Natureza,Física - Cinemática,1º simulado,18,Física
80,Ciências da Natureza,Química - Átomos,1º simulado,19,Química
81,Ciências da Natureza,Biologia - Bioquímica Celular,1º simulado,22,Biologia
82,Ciências da Natureza,Química - Ligações Químicas,1º simulado,26,Química
83,Ciências da Natureza,Química - Ligações Químicas,1º simulado,27,Química
84,Ciências da Natureza,Biologia - Bioquímica Celular,1º simulado,32,Biologia
85,Ciências da Natureza,Química - Ligações Químicas,1º simulado,33,Química
86,Ciências da Natureza,Biologia - Bioquímica Celular,1º simulado,36,Biologia
87,Ciências da Natureza,Biologia - Bioquímica Celular,1º simulado,38,Biologia
88,Ciências da Natureza,Biologia - Água,1º simulado,42,Biologia
89,Ciências da Natureza,Química - Funções Orgânicas,1º simulado,50,Química
90,Ciências da Natureza,Física - Cinemática,1º simulado,53,Física
91,Ciências da Natureza,Física - Cinemática,1º simulado,54,Física
92,Ciências da Natureza,Biologia - Bioquímica Celular,1º simulado,56,Biologia
93,Ciências da Natureza,Física - Cinemática,1º simulado,58,Física
94,Ciências da Natureza,Física - Cinemática,1º simulado,60,Física
95,Ciências da Natureza,Física - Cinemática,1º simulado,65,Física
96,Ciências da Natureza,Química - Distribuição Eletrônica,1º simulado,68,Química
97,Ciências da Natureza,Física - Vetores,1º simulado,69,Física
1,Matemática,Equação do 2º grau,2º simulado,1,Matemática A
2,Matemática,Triângulo,2º simulado,2,Matemática B
3,Linguagens,Interpretação de Texto,2º simulado,3,Linguagens
4,Ciências Humanas,História - Grécia,2º simulado,,História Geral
5,Linguagens,Texto não verbal,2º simulado,5,Linguagens
6,Ciências Humanas,Atualidades - Palestina,2º simulado,,Atualidades
7,Linguagens,Interpretação de Texto,2º simulado,7,Linguagens
8,Ciências Humanas,História - Sociedade Açucareira,2º simulado,,História do Brasil
9,Linguagens,Funções da Linguagem,2º simulado,9,Linguagens
10,Linguagens,Interpretação de Texto,2º simulado,10,Linguagens
11,Matemática,Conjuntos,2º simulado,11,Matemática A
12,Matemática,Conjuntos,2º simulado,12,Matemática A
13,Linguagens,Interpretação de Texto,2º simulado,13,Linguagens
14,Ciências Humanas,Geografia - Demografia,2º simulado,,Geografia Humana
15,Matemática,Conjuntos,2º simulado,15,Matemática A
16,Matemática,Sistema de equações do 1º grau,2º simulado,16,Matemática A
17,Linguagens,Interpretação de Texto,2º simulado,17,Linguagens
18,Matemática,Triângulo,2º simulado,18,Matemática B
19,Ciências Humanas,História - Escravidão,2º simulado,,História do Brasil
20,Linguagens,Funções da Linguagem,2º simulado,20,Linguagens
21,Ciências Humanas,História - Grécia,2º simulado,,História Geral
22,Linguagens,Interpretação de Texto,2º simulado,22,Linguagens
23,Ciências Humanas,Filosofia/Sociologia - Cultura,2º simulado,,Filosofia/Sociologia
24,Linguagens,Interpretação de Texto,2º simulado,24,Linguagens
25,Ciências Humanas,Geografia - Vegetação,2º simulado,,Geografia Física
26,Linguagens,Interpretação de Texto,2º simulado,26,Linguagens
27,Ciências Humanas,Geografia - Clima,2º simulado,,Geografia Física
28,Ciências Humanas,História - Grandes Navegações e Período Pré-Colonial,2º simulado,,História do Brasil
29,Matemática,Porcentagem,2º simulado,29,Matemática C
30,Matemática,Porcentagem,2º simulado,30,Matemática C
31,Ciências Humanas,Geografia - Neoliberalismo,2º simulado,,Geografia Humana
32,Linguagens,Figuras de Linguagem,2º simulado,32,Linguagens
33,Ciências Humanas,História - Período Colonial,2º simulado,,História do Brasil
34,Ciências Humanas,História - Roma,2º simulado,,História Geral
35,Ciências Humanas,Atualidades - Palestina,2º simulado,,Atualidades
36,Linguagens,Funções da Linguagem,2º simulado,36,Linguagens
37,Matemática,Triângulo,2º simulado,37,Matemática B
38,Ciências Humanas,Geografia - Industrialização Brasileira,2º simulado,,Geografia Humana
39,Ciências Humanas,Geografia - Clima,2º simulado,,Geografia Física
40,Ciências Humanas,História - Sociedade Açucareira,2º simulado,,História do Brasil
41,Matemática,Porcentagem,2º simulado,41,Matemática C
42,Matemática,Porcentagem,2º simulado,42,Matemática C
43,Matemática,Conjuntos,2º simulado,43,Matemática A
44,Matemática,Sistema de equações do 1º grau,2º simulado,44,Matemática A
45,Linguagens,Interpretação de Texto,2º simulado,45,Linguagens
46,Linguagens,Interpretação de Texto,2º simulado,46,Linguagens
47,Ciências Humanas,História - Roma,2º simulado,,História Geral
48,Linguagens,Interpretação de Texto,2º simulado,48,Linguagens
49,Matemática,Equação do 1º grau,2º simulado,49,Matemática A
50,Ciências Humanas,Geografia - Clima,2º simulado,,Geografia Física
51,Linguagens,Tipos Textuais,2º simulado,51,Linguagens
52,Linguagens,Figuras de Linguagem,2º simulado,52,Linguagens
53,Linguagens,Interpretação de Texto,2º simulado,53,Linguagens
54,Matemática,Triângulo,2º simulado,54,Matemática B
55,Matemática,Ângulos,2º simulado,55,Matemática B
56,Ciências Humanas,Geografia - Rochas,2º simulado,,Geografia Física
57,Ciências Humanas,Geografia - Industrialização Brasileira,2º simulado,,Geografia Humana
58,Linguagens,Figuras de Linguagem,2º simulado,58,Linguagens
59,Matemática,Triângulo,2º simulado,59,Matemática B
60,Ciências Humanas,História - Grécia,2º simulado,,História Geral
61,Matemática,Porcentagem,2º simulado,61,Matemática C
62,Linguagens,Interpretação de Texto,2º simulado,62,Linguagens
63,Matemática,Conjuntos,2º simulado,63,Matemática A
64,Matemática,Triângulo Retângulo,2º simulado,64,Matemática B
65,Matemática,Ângulos,2º simulado,65,Matemática B
66,Linguagens,Funções da Linguagem,2º simulado,66,Linguagens
67,Matemática,Conjuntos,2º simulado,67,Matemática A
68,Linguagens,Gêneros Textuais,2º simulado,68,Linguagens
69,Linguagens,Texto não verbal,2º simulado,69,Linguagens
70,Ciências Humanas,Filosofia/Sociologia - Cultura,2º simulado,,Filosofia/Sociologia
71,Ciências Humanas,Geografia - Vegetação,2º simulado,,Geografia Física
72,Matemática,Juros,2º simulado,72,Matemática C
73,Redação,Redação,2º simulado,73,Redação
74,Ciências da Natureza,Biologia - Taxonomia,2º simulado,4,Biologia
75,Ciências da Natureza,Química - Ligações Químicas,2º simulado,6,Química
76,Ciências da Natureza,Biologia - Bioquímica Celular,2º simulado,8,Biologia
77,Ciências da Natureza,Física - Cinemática,2º simulado,14,Física
78,Ciências da Natureza,Biologia - Taxonomia,2º simulado,19,Biologia
79,Ciências da Natureza,Química - Distribuição Eletrônica,2º simulado,21,Química
80,Ciências da Natureza,Química - Estequiometria,2º simulado,23,Química
81,Ciências da Natureza,Física - Dinâmica,2º simulado,25,Física
82,Ciências da Natureza,Física - Cinemática,2º simulado,27,Física
